Pregunta,respuesta,Tema,Pers/empresa,Polarity,Nota,ambiguedad
"MI ABUELA MURIÓ HACE MAS DE 10 AÑOS PERO ELLA LABORO EN UNA ENTIDAD PUBLICA POR MAS DE 40 AÑOS, PERO NADIE HIZO NINGÚN RECLAMO ACERCA DE MONTEPÍO NI TIEMPO DE TRABAJO EN EL LUGAR DONDE TRABAJÓ, HABRÍA LA POSIBILIDAD DE AUN REALIZAR ALGÚN TRAMITE PARA PAGO?",,IESS,,,,
mi celular es el 0988046873 ruego comunicarse para que preste sus servicios en reclamar una jubilacion patronal ya que me retire de mi trabajo hace tres años  para jubilarme me falta 1 año 5 meses y quiero reclamar la patronal defiendame por favor,,Jubilacion Patronal,,,,
"mi empresa no ha hecho calculo actuarial para el año 2017, quiero saber cuanto mas o menos es el costo de ese servicio
que debo enviarle para la cotizacion
mis empleados fijos 70 y tengo unos 30 pero son por contratos de obra,,,,,",,Jubilacion Patronal,,,,
mi empresa Tiene 10 trabajadores y empezamos a contratar trabajadores desde el 2017 necesito saber si estoy obligado a realizar el estudio actuarial,,Jubilacion Patronal,empresa,0,,
Mi esposo se jubilo por invalidez total absoluta Que tipo de indemnización debe tener? O que fondos debería retirar,,IESS,persona,0,,
Mi interés está relacionado con consultas sobre: Desarrollo de Productos de Seguro Diseño y acompañamiento en la aprobación de nuevos productos y planes de seguros,,Consultoria,empresa,,,
Mi madre murió siendo jubilada hay algún cobro al que tengamos derecho dos hijos mayores de edad????,,IESS,persona,,,
Mi papá era afiliado pero era afiliado pero no estaba casado con mi mamá …. me indicaron que podía mi mamá hacer una declaración juramentada como cónyuge sobreviviente que eso reemplaza la unión de hecho se puede hacer o no para acceder a montepio …. y en el caso de devolución de aportes por muerte como puedo acceder en caso que no se pueda recibir montepio gracias,,IESS,,,,
mi pregunta  a 27 años de trabajo cuanto en una empresa agricola  y que  se cambio de razon social  por tres acaciones a cuanto  es el porcentaje  que se  debe hacer el calculo,,Jubilacion Patronal,empresa,0,,
Mide la percepción de los trabajadores sobre el nivel de liderazgo y de ajuste de competencias al cargo de sus jefes,,Consultoria,,,,
Mónica Calderón independiente y Estrella Torres Juanis Spa,,No Topic,,,,
muchas gracias,,Hi Five,,,,
Muchas gracias,,Hi Five,,,,
Muchas gracias por la atención,,Hi Five,,,,
muchas gracias por su ayuda,,Hi Five,,,,
"Muchas gracias por su ayuda, sigan asi!",,Hi Five,,,,
Muy buen servicio,,Hi Five,,PP,,
Muy buena empresa gracias por su servicio,,Hi Five,,,,
Muy buenas tarde un gusto saludarle quisiera información de costos sobre un cálculo global de jubilación patronal tal vez me puedan ayudar por este medio ? Gracias,,Jubilacion Patronal,,,,
"Muy buenas tardes
Mi pregunta versa sobre una funcionaria que ha solicitado ya 180 dias de permiso por enfermedad
ya el sistema no permite otro dia mas de permiso
tiene que reincorporarse a su puesto el 22 de Mayo de 2019, pero su estado actual no le permite trabajar ya que no puede caminar y ha quedado ciega
Ya presento su solicitud por invalidez pero se le nego, la funcionaria impugno y aun no responde
Como empleador como se puede hacer para pagarle el subsidio por enfermedad y como la podriamos jubilar tiene 52 años de edad",,IESS,,,,
"Muy buenas tardes, con el máximo respeto me dirijo para que me ayude con una consulta. Soy Rector de una institución educativa particular actualmente por tengo el contrato por servicios profesionales, ya que me descontaban el 40%. (Por ser militar jubilado). Deseo saber si efectivamente quedó sin efecto ese descuento para solicitar el contrato en Relación de dependencia. edisonmorenoperez24@hotmail.com",,IESS,persona,0,,ambivalente
"Muy buenas tardes, con el máximo respeto me dirijo para que me ayude con una consulta. Soy Rector de una institución educativa particular actualmente por tengo el contrato por servicios profesionales, ya que me descontaban el 40%. (Por ser militar jubilado). Deseo saber si efectivamente quedó sin efecto ese descuento para solicitar el contrato en Relación de dependencia. edisonmorenoperez24@hotmail.com",,Jubilacion Patronal,persona,0,,ambivalente
"Muy buenas tardes. Soy beneficiario del ISSFA  con el 40% de invalidez, tengo el carnet del Conadis. Laboro en una empresa pribada y estoy por cumplir las 300 imposiciones en el IESS , mi consulta es si puefo acogerme  a la jubilación especial considerando q soy beneficiario del ISSFA",,IESS,,,,
"Muy buenas tardes... A nombre de la empresa La Señora de las Llantas ubicada en la ciudad de Guayaquil solicitamos información sobre sus servicios ......los requisitos, el costo, el procedimiento y el tiempo que ustedes llevan para desarrollar el Estudio Actuarial... por favor enviar la información al siguiente correo rarce@lasenoradelasllantas.com .... gracias por su pronta respuesta",,Jubilacion Patronal,,,,
"Muy buenas tardes... A nombre de la empresa La Señora de las Llantas ubicada en la ciudad de Guayaquil solicitamos información sobre sus servicios ......los requisitos, el costo, el procedimiento y el tiempo que ustedes llevan para desarrollar el Estudio Actuarial... por favor enviar la información al siguiente correo rarce@lasenoradelasllantas.com .... gracias por su pronta respuesta.",,Jubilacion Patronal,,,,
"Muy buenas tardes... Excelente página .. Consulto cumplo 60 años el 4 de octubre de este año y 430 aportaciones, trabaje hasta el 15 de este mes... Cuando me puedo jubilar .",,IESS,,,,ambivalente
"Muy buenas tardes... Excelente página .. Consulto cumplo 60 años el 4 de octubre de este año y 430 aportaciones, trabaje hasta el 15 de este mes... Cuando me puedo jubilar .",,Jubilacion Patronal,,,,ambivalente
"Muy buenos dias 
por favor me podria ayudar con un numero de contacto ",,Contacto,,,,
"Muy buenos dias 
por favor me podria ayudar con un numero de contacto para consultar el ingreso de informacion para el calculo actuarial 
2018",,Jubilacion Patronal,,,,
"Muy buenos días. mi nombre Zamaris Jaén, mi correo personal zamarisjaen@gmail.com",,Greeting,,,,
"Muy mal servicio, totalmente decepcionados, cambien",,Queja,,,,
necesitamos realizar un estudio ,,No Topic,,,,
necesito,,No Topic,,,,
necesito algo,,No Topic,,,,
Necesito asesoría en Integración y Depuración de Datos,,Consultoria,,,,
Necesito Asesoría integral de acompañamiento actuarial,,Consultoria,,,,
Necesito ayuda,,No Topic,,,,
Necesito ayuda en Integración y Depuración de Datos,,Consultoria,,,,
Necesito ayuda. Me puede enviar una cotizacion para un estudio actuarial,,Jubilacion Patronal,,,,
necesito contactarme con ustedes,,Contacto,,,,
necesito cotizacion ,,No Topic,,,,
necesito cotización para un estudio actuarial.   Que información necesita para enviarme una proforma.,,Jubilacion Patronal,empresa,0,,
Necesito Desarrollo y aplicación de solvencia para compañías aseguradoras por tipos de riesgo,,Consultoria,,,,
Necesito Diseño y acompañamiento en la aprobación de nuevos productos y planes de seguros,,Consultoria,,,,
Necesito el cálculo de tarifas de riesgo y comerciales en los diferentes productos de seguro ,,Consultoria,,,,
Necesito el cálculo de tarifas de riesgo y comerciales en los planes de medicina prepagada,,Consultoria,,,,
necesito el correo electronico de actuaria,,Contacto,,,,
"necesito hacer un estudio actuarial de la empresa
por eso los estoy contactando",,Jubilacion Patronal,,,,
necesito hacer una consulta para poder cuantificar la obligación de beneficios para personal que está próximo a Jubilarse. con quién puedo contactarme?,,Contacto,empresa,,,ambivalente
necesito hacer una consulta para poder cuantificar la obligación de beneficios para personal que está próximo a Jubilarse. con quién puedo contactarme?,,Jubilacion Patronal,,,,ambivalente
necesito hacer una consulta para poder cuantificar la obligación de beneficios para personal que está próximo a Jubilarse. con quién puedo contactarme?,,IESS,,,,ambivalente
Necesito informacion sobre su producto ACTUA R2O,,Consultoria,,,,
Necesito informacion sobre su producto de asesoria financiera,,Otros servicios,,,,
necesito me ayude con informacion tengo una nomina de 18 trabajadores pero dentro de ellos un persona de 80años que  necesito jubilarlo cual seria el costo  si usted me ayudaraia con el calculo,,Jubilacion Patronal,empresa,0,,
Necesito Provisión de las reservas  DE Desviación de siniestralidad,,Consultoria,,,,
Necesito Provisión de las reservas  DE Insuficiencia de primas,,Consultoria,,,,
Necesito Provisión de las reservas  DE Metodologías alternas de cálculo para IBNR,,Consultoria,,,,
Necesito Provisión de las reservas  DE Reservas Matemáticas,,Consultoria,,,,
Necesito Provisión de las reservas  DE Riesgos en curso,,Consultoria,,,,
Necesito Provisión de las reservas  DE Servicios en curso,,Consultoria,,,,
Necesito Provisión de las reservas  DE Servicios pendientes avisados,,Consultoria,,,,
Necesito Provisión de las reservas  DE Servicios prestados y no reportados,,Consultoria,,,,
Necesito Provisión de las reservas  DE Siniestros pendientes avisados,,Consultoria,,,,
Necesito Provisión de las reservas IBNR,,Consultoria,,,,
"Necesito q me ayude indicando si uds realizan analisis y diagnostico de la estructura organizacional, evaluar nuestro organigrama y como estamos gestionandolo para ver si estamos bien o lsi hay manera de ser mas eficiente o mejorsr procesos",,Otros servicios,,,,
Necesito q me ayudes con algo por favor.,,No Topic,,,,
Necesito q me ayudes con algo por favor. Dan servicio de consultoria para empresas de seguros?,,Consultoria,,,,
necesito que me ayuden con un analisis actuarial de mi Institucion,,Jubilacion Patronal,,,,
"necesito realizar una consulta sobre los porcentajes rrc  a aplicar en este periodo, los q rigen a partir del abril 2019","Buenos días 
me ayuda con los siguientes datos por favor: ruc, nombre empresa, contacto, cargo, correo y teléfonos ",Consultoria,empresa,0,,
necesito saber,,No Topic,,,,
NECESITO SABER CUANTO,,No Topic,,,,
"necesito saber que dia me emitieron la factura 
mi ruc es 0992592605001 ",,Facturacion/Retencion/Cobros,,,,
NECESITO SABER QUE PAPELES NECESITAN PARA REALIZAR UN TRABAJO DE SUS SERVICIOS DE LA COMPAÑIA,,No Topic,,,,
Necesito saber que se necesita para contratar a un actuario. Soy representante legal de dos colegios y necesito manejar el ahorro para las liquidaciones y jubilaciones,,Jubilacion Patronal,,,,ambivalente
Necesito saber que se necesita para contratar a un actuario. Soy representante legal de dos colegios y necesito manejar el ahorro para las liquidaciones y jubilaciones,,Renuncia/Despido/Desahucio,,,,ambivalente
Necesito servicios de analítica de datos,,Consultoria,,,,
necesito servicios de capacitacion en temas financieros ,,Charlas/Capacitaciones,,,,
necesito servicios de capacitacion para obtener conocimientos en ciencias actuariales,,Charlas/Capacitaciones,,,,
necesito su ayuda quisiera saber cual es el asiento para la contabilizacion del estudio actuarial gracias nosotros hicimos el estudio con uds.,,Jubilacion Patronal,empresa,0,,
"Necesito un estudio actuarial para provicion por jubilaciones, es para una empresa de servicios educativos ",,Jubilacion Patronal,empresa,0,,
Necesito un estudio de balance actuarial para un fondos que mantienen un sistema de reparto. ,,Consultoria,,,,
Necesito un estudio para una migración a un sistema de cuentas individuales,,Consultoria,,,,
Necesito un estudios de balance actuarial para  un fondos que mantienen un sistema de beneficio definido ,,Consultoria,,,,
Necesito una consultoria de Evaluación de Calidad de Datos,,Consultoria,,,,
necesito una cotizacion para un estudio actuarial de 73 empleados,,Jubilacion Patronal,,,,
Necesito una Herramienta que permite tarificar de manera eficiente el plan de seguro o medicina prepagada tomando en cuenta los diversos factores que pueden afectar el riesgo,,Consultoria,,,,
NO ES PARA LO DEL IESS,,IESS,,,,
"No estoy contenta con los plazos, quisiera presentar una queja",,Queja,,NP,,
NO ME RESPONDEN EL TELEFONO EN ACTUARIA...TALVEZ HAY OTRO NUMERO AL QUE PUEDO LLAMAR?,,Contacto,,,,
NOMBRE:DOLORES,,No Topic,,,,
nos gustaria obtener una proforma acerca de los servicios de calculo por jubilación,,Jubilacion Patronal,,,,
nos podría ayudar por favor,,No Topic,,,,
"nose si puedo hacer una consulta por este medio, el tema es que llevo 19 años de servicio con el mismo patrón pero aquí no les permiten llegar a los 20 años por temas de jubilación patronal me gustaría que me asesoren cuanto me tocaría recibir    porque es seguro que me botan",,Jubilacion Patronal,,,,
Nuestros programas atienden necesidades básicas de capacitación en la empresa.,,Charlas/Capacitaciones,,,,
Ok gracias! Dan Asesoría en Guayaquil y Quito? En dónde están ubicados en GYE?,,Contacto,,,,
ok y la pension jubilar no entiendo lo de la raiz sesentava del total de los sueldos de los ultimos 5 años,,IESS,,,,
"Ok, muchas gracias, ",,Hi Five,,,,
Ola...mi pregunta es si mi mamá está enferma puedo yo reclamarle su liquidación y presentarle su renuncia,,Renuncia/Despido/Desahucio,,,,
otro tema,,No Topic,persona,,,
PARA CALCULAR EL DESAHUCIO SE DEBE TOMAR EN CUENTA EL VALOR POR HORAS EXTRAS Y LA ALIMENTACIÓN?,,Renuncia/Despido/Desahucio,persona,0,,
"PARA EL CALCULO DE LA JUBILACION IESS POR INVALIDEZ O DISCAPACIDAD
TRABAJABA EN DOS EMPLEOS PARA EL CALCULO DE LA JUBILACION SE ME VA HA CONSIDERAR LAS DOS, APORTACIONES. INCLUIDO LOS ADICIONALES, COMO HORAS EXTRAS COMISIONES ETC., INDISTINTAMEMETE, QUE ME CONSIDEREN SOLO UNA IMPOSICION PARA MI HISTORIA LABORAL. QUIERO SABER DONDE ENCONTAR LA BASE LEGAL, SUS ARTICULO SOBRE ESTE CASO",,IESS,,,,
"para el registro del estudi actuarial, los gastos son considerados como no deducible pero directamente va a afectar a mi resultado?",,Jubilacion Patronal,persona,0,,
"Para la jubilación de el IESS, si se aporta por dos empresas a la vez , eso cuenta como dos imposiciones , es decir al año 24 o solo 12?",,IESS,,,,
"Para la jubilación patronal, si se aporta por dos empresas a la vez , eso cuenta como dos imposiciones , es decir al año 24 o solo 12?",,Jubilacion Patronal,,,,
"Para la jubilación, si se aporta por dos empresas a la vez , eso cuenta como dos imposiciones , es decir al año 24 o solo 12?",,Jubilacion Patronal,,,,ambivalente
"Para la jubilación, si se aporta por dos empresas a la vez , eso cuenta como dos imposiciones , es decir al año 24 o solo 12?",,IESS,,,,ambivalente
para que se hace esto,,No Topic,,,,
Para una jubilacion exigen...65 años de edad y 30 o 35 de aportes.,,IESS,,,,ambivalente
Para una jubilacion exigen...65 años de edad y 30 o 35 de aportes.,,Jubilacion Patronal,,,,ambivalente
Percibo pensiones de jubilacion ordinaria de vejez y patronal normalmente. Pero en Diciembre del 2016 no se me pago el decimo tercero de la patronal. En razon de esto solicito dicho pago.,,Jubilacion Patronal,,,,ambivalente
Percibo pensiones de jubilacion ordinaria de vejez y patronal normalmente. Pero en Diciembre del 2016 no se me pago el decimo tercero de la patronal. En razon de esto solicito dicho pago.,,IESS,,,,ambivalente
peritos evaluadores,,Otros servicios,,,,
"Pero ya era demasiado tarde. Manu recorría la ciudad insultado a todos solo para ver cómo sus palabras tomaban forma y sus letras se lanzaban contra quien fuera como fantasmas que, al tocarlos, los atravesaban y los transformaban en aquello que hubiera dicho Manu. ",,No Topic,,,,
perro,,No Topic,,,,
persona,,No Topic,,,,
"pesimo servicio, estoy esperando el estudio por mas de 22 dias",,Queja,persona,NP,,
Pésimo trato del personal,,Queja,,,,
Plan de Ahorro y Retiro PAR,,Renuncia/Despido/Desahucio,,,,
"Podemos decir que la parte más importante de una inteligencia artificial es la capacidad de aprender, de cambiar su comportamiento en base a nueva información.",,Consultoria,,,,
Podria explicarme en que consiste la evaluacion 360?,,Consultoria,,,,
"podria explicarme un poquito para poder indicarles bajo que modalidad trabajaremos Buenos días, necesito me confirme la tasa de descuento con la que se desea trabajar: Bonos corporativos de alta calidad de los Estados Unidos (tasa aproximada del 4.25%) Bonos corporativos de alta calidad del Ecuador (tasa aproximada del 7.72%) este es para te del mail que Danile le pasa a mi compañera Lorena podria por favor indicarme a que hace referencia este tema o donde puedo encontrar la base legal sobre esto...??",,Jubilacion Patronal,empresa,0,,
por favor cuanto cuesta sus servicios,,No Topic,,,,
"POR FAVOR DRA. DANIELA, SOY DOCENTE CON 30 AÑOS DE SERVICIO Y 360 IMPOSICIONES ESTOY EN PROCESO DE JUBILACION POR INVALIDEZ Y MI INQUIETUD ES LA SIGUIENTE: SI RECIBIRE EL BONO DEL ESTADO ECUATORIANO Y CUANTO SERA EL MONTO APROXIMADO, DEL IESS NO SE QUE TENGO QUE CUMPLIR 60 DE EDAD Y 30 AÑOS DE SERVICIO PARA QUE ME DEN LA MENSUALIDAD. MUCHAS GRACIAS POR SU RESPUESTA ",,IESS,,,,
"Por favor en el mes de marzo del 2018 cumplo 60 años y tendría 37 años y medio de aportes., podría ya jubilarme? Graicas",,Jubilacion Patronal,,,,ambivalente
"Por favor en el mes de marzo del 2018 cumplo 60 años y tendría 37 años y medio de aportes., podría ya jubilarme? Graicas",,IESS,,,,ambivalente
"Por favor es tan amable, necesito saber si me pueden ayuda con una cotizacion para la realizacion de un estudio actuarial del 2017 y del 2018",,Jubilacion Patronal,empresa,0,,
"Por favor indicar si existe un valor máximo a percibir como jubilación patronal en la Empresa Eléctrica Quito, ya que me jubilé en diciembre del 2018 y en un documento constaba una pensión mensual de 1.300 pero actualmente me están cancelando 380 gracias",,Jubilacion Patronal,,,,
Por favor me ayuda con informacion de las capacitaciones de seguros?,,Charlas/Capacitaciones,,,,
"POR FAVOR ME FALTA 10 MESES PARA CUMPLIR 30 AÑOS DE APORTACION Y TENER 60 AÑOS, TRABAJE EN RELACION DE DEPENDENCIA 27 AÑOS Y SIGO APORTANDO VOLUNTARIAMENTE CON EL BASICO
LOS CINCO MEJORES AÑOS APORTE SOBRE 2500
CUANTO TENDRIA QUE PERCIBIR DE PENSION JUBILAR DEL IESS",,IESS,,,,
"Por favor me informa si un pensionado que vive en el exterior y muere allá, tiene derecho a gastos funerarios?",,IESS,,,,
Por favor me podria indicar ...con 400 aportaciones seguidas en el Instituto del seguro socil ....65 años de edad ....claro ya estoy dentro de los requisitos que pide esta institución....pero para la juvilacion patronal dicen son 25 ...yo solo tengo 22 ...me liquidaran con una parte proporcional....favor expliqueme este caso.,,IESS,,,,ambivalente
Por favor me podria indicar ...con 400 aportaciones seguidas en el Instituto del seguro socil ....65 años de edad ....claro ya estoy dentro de los requisitos que pide esta institución....pero para la juvilacion patronal dicen son 25 ...yo solo tengo 22 ...me liquidaran con una parte proporcional....favor expliqueme este caso.,,Jubilacion Patronal,,,,ambivalente
por favor necesito me ayude con la informacion del cuanto serian los costos por una calculo de jubilacion patronal,,Jubilacion Patronal,,,,
POR FAVOR NECESITO SABER  QUE TRAMITES TENGO QUE HACER PARA JUBILARME POR  PROBLEMAS PSQUIATRICOS  TENGO  18 AÑOS DE SERVICIO EN EL MSP,,IESS,,,,
"Por favor necesito saber todo sobre las capacitaciones sobre seguros
temarios
horarios, direccion y costos
me ayudan con esa información por favor mi correo es veronica.jacome@metricbank.com",,Charlas/Capacitaciones,,,,
Por favor necesito su ayuda:,,No Topic,,,,
por favor quiero consultarles es necesario realizar el estudio actuarial si manejo solo una empelada para una compañia ?,,Jubilacion Patronal,empresa,0,,
por favor requiero cotizacion de sus servicios,,No Topic,,,,
"por favor su ayuda, con un correo electrónico para poderles enviar una retención electrónica. Gracias. ",,Contacto,,,,
"Por favor, a qué telefono le llamo para solicitar cotizacion del estudio actuarial?",,Contacto,,,,ambivalente
"Por favor, a qué telefono le llamo para solicitar cotizacion del estudio actuarial?",,Jubilacion Patronal,empresa,0,,ambivalente
por si acaso yo acabo,,No Topic,,,,
por su atencion gracias,,Hi Five,,,,
Porque no contestan el telefono? Es muy dificil contactarse con ustedes,,Queja,,NP,,
porque se demoran tanto y hacen mal sus estudios,,Queja,,,,
pregunta,,No Topic,,,,
pregunta Dan capacitaciones,,Charlas/Capacitaciones,,,,
PRODUCTORA M  YA RECIBIO LA FACTURA DEL ESTUDIO ACTUARIAL TENGO QUE HACER UN DEPOSITO SEGUN LA FACTURA  EMITIDA POR UDS. PERO QUIERO SABER CUANTO ES LA RETENCION QUE HAY Q HACER  GRACIAS,,Facturacion/Retencion/Cobros,,,,
"Proyección de beneficios (millas, redención de puntos, entre otros)",,Consultoria,,,,
"proyectos que tienen que ver con materias tan delicadas como discutibles, tales como la gestión del compromiso, la mejora de la comunicación interna, los planes para fomentar la motivación o la involucración del personal, las medidas de fomento de la marca interna o de impulsión de la marca empleadora",,Consultoria,,,,
"proyectos relativos al fortalecimiento de una cultura de empresa o las acciones de aseguramiento en procesos de gestión del cambio y muchos otros que tienen que ver con los planes de capacitación o de formación,",,Consultoria,,,,ambivalente
"proyectos relativos al fortalecimiento de una cultura de empresa o las acciones de aseguramiento en procesos de gestión del cambio y muchos otros que tienen que ver con los planes de capacitación o de formación,",,Charlas/Capacitaciones,,,,ambivalente
Pueden ajudarme para tramitar mi juvilacion? Gracias.,,IESS,persona,0,,ambivalente
Pueden ajudarme para tramitar mi juvilacion? Gracias.,,Jubilacion Patronal,persona,0,,ambivalente
"Pueden ayudarme tengo una consulta,
el próximo mes de octubre cumplo 60 años y tengo 37 años de aportes, en el mes de noviembre ya podría tramitar mi jubilación??
gracias de antemano",,IESS,,,,ambivalente
"Pueden ayudarme tengo una consulta,
el próximo mes de octubre cumplo 60 años y tengo 37 años de aportes, en el mes de noviembre ya podría tramitar mi jubilación??
gracias de antemano",,Jubilacion Patronal,,,,ambivalente
puedo entonces recibir dos jubilaciones del empleador y del Iess,,IESS,,,,ambivalente
puedo entonces recibir dos jubilaciones del empleador y del Iess,,Jubilacion Patronal,,,,ambivalente
Puedo enviar mi curriculum vitae?,,trabaje con nosotros,,,,
Puedo enviar mi cv para ser considerado para un trabajo?,,trabaje con nosotros,,,,
puedo formar parte de su equipo?,,trabaje con nosotros,,,,
"Que compañías están obligadas a contratar estudio actuarial, cuales son los requisitos que deben cumplir.",,Jubilacion Patronal,,,,
que es actuaria,,No Topic,,,"por lo pronto se pone como no topic, podria ser para nuevo topic",
Qué hace Actuaria?,,Contacto,persona,,,
Que incluye sala de velacion y boveda?,,IESS,,,,
Que mal me ha ido trabajando con ustedes,,Queja,,,,
"Que mal trabajo hacen ustedes, muy malo",,Queja,,,,
que necesito yo,,No Topic,,,,
Que ocurre en la terminación de la relación laboral?,,Renuncia/Despido/Desahucio,,,,
Que pasaría si una persona tiene menos de 60 aportaciones para jubilarse,,IESS,,,,
Que productos venden en consultoría?,,Consultoria,empresa,,,
"Que tal deseo saber si estando afiliado ya en una compañia, me puedo afiliar voluntariamente para jubilarse mas rapido?",,IESS,,,,
Que tiempo aproximadamente se demoran en un estudio de jubilacio patronal,,Jubilacion Patronal,,,,
Que tiempo aproximadamente se demoran en un estudio de recursos humanos,,Consultoria,,,,
"queria hacer una pregunta: existe alguna disposicion de la super de la aplicacion de una tasa de descuento especifica? 
3% o 7% o cualquiera de las tasas son aceptadas en ecuador?",,Jubilacion Patronal,empresa,0,,
Queria un estudio actuarial,,Jubilacion Patronal,,,,
Quiciera saber si ya puedo jubilarme por favor puede explicar,,IESS,,,,ambivalente
Quiciera saber si ya puedo jubilarme por favor puede explicar,,Jubilacion Patronal,,,,ambivalente
quien es Ivan Ramirez?,,No Topic,,,"por lo pronto se pone como no topic, podria ser para nuevo topic",
Quiero conocer su oferta ,,No Topic,,,,
Quiero conocer su oferta en temas de ,,No Topic,,,,
Quiero conocer su oferta en temas de consultoria matematica,,Consultoria,,,,
Quiero conocer su oferta en temas de recursos humanos,,Consultoria,,,,
Quiero conocer su oferta en temas de seguros,,Consultoria,,,,
Quiero conocer su oferta en temas financieros,,Otros servicios,,,,
Quiero desarrollar un modelo de Topic/Sentiment Análisis en Redes Sociales con ayuda de ACTUARIA,,Consultoria,,,,
quiero hacer el calculo por deshaucio,,Renuncia/Despido/Desahucio,,,,
Quiero poner una queja por el mal servicio que dan,,Queja,,NP,,
"quiero realizaPROVEEDOR DE TECNOLOGIA S A
quiero hacer el càlculo actuarial en linea
supe que ya es posible
hay que bajar alguna plataforma",,Jubilacion Patronal,,,,
Quiero saber cuando me depositan el dinero de acta finiquito ya hize de la cuentas bancarias,,Renuncia/Despido/Desahucio,persona,0,,
quiero saber cuando me entregan el estudio actuarial que estoy haciendo con ustedes?,,Jubilacion Patronal,,,,
quiero saber donde estan ubicados,,Contacto,,,,
quiero seaber si puedo jubilarme con cuanto me quedo  mensualmente gracia podria ayudarme,,IESS,,,,ambivalente
quiero seaber si puedo jubilarme con cuanto me quedo  mensualmente gracia podria ayudarme,,Jubilacion Patronal,,,,ambivalente
quiero trabajar en ACTUARIA?,,trabaje con nosotros,,,,
Quisiera enviar mi cv para que sea considerado ,,trabaje con nosotros,,,,
Quisiera me ayudaran con las ventajad y desventejas de aplicar el calculo de la media grometrica y aritmetica  en las pensiones de los jubilados   me ayudarian a obtener un mejor panorama sobre este tema es pars mi tesis gracias ¡¡¡,,IESS,,,,
quisiera me ayude con el calculo de pensión jubilar,,Jubilacion Patronal,,,,
"quisiera me ayuden con un calculo actuarial 
por favor",,Jubilacion Patronal,,,,
Quisiera q me ayude con un ejemplo de desahucio,,Renuncia/Despido/Desahucio,,,,
Quisiera saber cuánto me dieran de liquidación por renuncia voluntaria por 1 amo 1/2,,Renuncia/Despido/Desahucio,persona,0,,
quisiera saber que hacen,,No Topic,,,,
Quisiera saber que reconocen en muerte de un jubilado ,,IESS,,,,
Quisiera saber si estan buscando personal,,trabaje con nosotros,,,,
Quisiera saber si estan contratando,,trabaje con nosotros,,,,
"Quisiera saber si mi mamá ya puede Jubilarse en la empresa donde trabaja, y cómo es el tema de la jubilacion en el IESS y cuáles son las bases legales vigentes.
mi mamá trabaja en una empresa privada
ya lleva trabajando 27 años",,IESS,,,,ambivalente
"Quisiera saber si mi mamá ya puede Jubilarse en la empresa donde trabaja, y cómo es el tema de la jubilacion en el IESS y cuáles son las bases legales vigentes.
mi mamá trabaja en una empresa privada
ya lleva trabajando 27 años",,Jubilacion Patronal,,,,ambivalente
Quisiera saber si puedo acceder a capacitación sobre la Nic 19 y Gestión Financiera ,,Charlas/Capacitaciones,,,,
"quisiera saber si yo tengo el sindrome del tunel del carpo en mi mano y brazo es considerada enfermedad laboral 
y en caso de que me quisieran realizar un despido intempestivo la empresa donde laboro que debo hacer si aun estoy en rehabilitacion y al parecer requiero de una operacion",,Renuncia/Despido/Desahucio,,,,
quisiera saber su ustedes dan asesoria financiera a pymes?,,Otros servicios,empresa,0,,
Quisiera una cotización de un estudio actuarial,,Jubilacion Patronal,empresa,0,,
Realizan Análisis de Inventarios?,,Consultoria,,,,
Realizan Análisis de Series de Tiempo?,,Consultoria,,,,
Realizan avaluos de propiedades,,Otros servicios,,,,
Realizan consultorias en temas financieros,,Otros servicios,,,,
Realizan modelado matematico?,,Consultoria,,,,
Reciban un cordial saludo de parte mía,,Greeting,,,,
Recibimos oficio adjunto de SCVS. Favor confirmar si con cambios hechos en ultimo pedido de justificación de NT hecho por ustedes ahora es lo que se solicita en oficio adjunto. Y por otro lado necesitamos la nota técnica dental donde se corregida el wording     e incluyendo los registros de las aprobaciones correspondiente para NT y Tarifa de prima. Favor su valiosa y acostumbrada ayuda porque es urgente. Gracias,,Consultoria,,,,
"Reporte de siniestralidad, se está incluyendo dentro de la obligación para el licitante, que además del envió de reporte de siniestralidad (20 de cada mes) deberá de enviarlo completo de acuerdo a los campos del formato 1 (formato de siniestralidad).

 

2.       penalizaciones, se está agregando en la pena por no entregar el reporte de siniestralidad los 20 de cada mes, el que tambien aplica la penalización si el reporte no se entrega completo con la información solicitada en el formato 1.

 

3.       En seguimiento al tema de los siniestros, se señala con rojo en la página 10 del anexo técnico, como aplica la parte del reembolso en cuanto los tiempos para conocimiento de UNOPS.",,Consultoria,,,,
REPRESENTANTE LEGAL DE LOS COLEGIOS:,,No Topic,,,,
"Requeri servicios de ACTUARIA y tuvimos que lidiar con gent desagradable, personal con conocimiento muy bajo y altas demoaras",,Queja,,,,
Requiero actualizar el estudio actuarial realizado por ustedes para el ejercicio 2017,,Jubilacion Patronal,empresa,0,,
requiero ayuda,,No Topic,,,,
requiero cotizacion de sus servicios,,No Topic,,,,
Requiero de una nota técnica para póliza de responsabilidad civil,,Consultoria,,,,
Requiero el desarrollo de un Modelo Predictivo,,Consultoria,,,,
requiero sus servicios,,No Topic,,,,
requiero sus servicios para ayuda,,No Topic,,,,
